SERIES,AGE-Entered by OMC,OCCUPATION-Entered by OMC,HOMETOWN-Entered by OMC,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,STAR BAKER,TCH WINNER,TCH TOP 3,TCH BOTTOM,TCH HIGHEST,TCH LOWEST,TCH MEDIAN,SERIES WINNER,SERIES RUNNER UP,TOTAL EPISODES APPEARED,TOTAL EPISODES WINS,% EPISODES APPEARED,% EPISODES WINS,% TCH TOP 3,LAST DATE APPEARED UK,FIRST DATE APPEARED UK,LAST DATE APPEARED US,FIRST DATE APPEARED US
1,30 years,Single mother,Essex,Annetha,IN,OUT,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,7,4.5,0,0,2,0,33.333333333333336,0,50,24 August 2010,17 August 2010,not aired in US,not aired in US
1,31 years,Entrepreneur,Milton Keynes,David,IN,IN,IN,OUT,NA,NA,NA,NA,NA,NA,0,0,1,3,3,8,4.5,0,0,4,0,66.66666666666667,0,25,7 September 2010,17 August 2010,not aired in US,not aired in US
1,24 years,Debt collector for Yorkshire Bank,Bradford,Edd,IN,IN,IN,IN,IN,WINNER,NA,NA,NA,NA,0,2,4,1,1,6,2,1,0,6,3,100,50,66.66666666666667,21 September 2010,17 August 2010,not aired in US,not aired in US
1,45 years,Assistant Credit Control Manager,Birmingham,Jasminder,IN,IN,IN,IN,OUT,NA,NA,NA,NA,NA,0,0,2,2,2,5,3,0,0,5,0,83.33333333333333,0,40,14 September 2010,17 August 2010,not aired in US,not aired in US
1,25 years,Research Analyst,St Albans,Jonathan,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,9,6,0,0,3,1,50,33.333333333333336,33.333333333333336,31 August 2010,17 August 2010,not aired in US,not aired in US
1,51 years,Retired,"Midlothian, Scotland",Lea,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,10,10,10,0,0,1,0,16.666666666666668,0,0,17 August 2010,17 August 2010,not aired in US,not aired in US
1,44 years,Police Officer,Manchester,Louise,IN,OUT,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,4,4,4,0,0,2,0,33.333333333333336,0,0,24 August 2010,17 August 2010,not aired in US,not aired in US
1,48 years,Bus Driver,South Wales,Mark,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,1,0,16.666666666666668,0,0,17 August 2010,17 August 2010,not aired in US,not aired in US
1,37 years,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Miranda,IN,IN,IN,IN,IN,RUNNER UP,NA,NA,NA,NA,0,2,4,1,1,8,3,0,1,6,2,100,33.333333333333336,66.66666666666667,21 September 2010,17 August 2010,not aired in US,not aired in US
1,31 years,Retail manager/Housewife,"Poynton, Cheshire",Ruth,IN,IN,IN,IN,IN,RUNNER UP,NA,NA,NA,NA,0,0,2,2,2,5,3.5,0,1,6,0,100,0,33.333333333333336,21 September 2010,17 August 2010,not aired in US,not aired in US
2,31 years,Graphic Designer,Northampton,Ben,IN,IN,IN,OUT,NA,NA,NA,NA,NA,NA,0,1,3,1,1,5,2.5,0,0,4,1,50,25,75,6 September 2011,16 August 2011,not aired in US,not aired in US
2,31 years,Advertising executive,Leicester,Holly,SB,IN,IN,SB,IN,IN,IN,RUNNER UP,NA,NA,2,2,5,3,1,6,3,0,1,8,3,100,37.5,62.5,4 October 2011,16 August 2011,not aired in US,not aired in US
2,40 years,Fundraiser for English Heritage,"Dunstable, Bedfordshire",Ian,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,2,10,10,0,0,3,0,37.5,0,33.333333333333336,30 August 2011,16 August 2011,not aired in US,not aired in US
2,63 years,Teacher of Modern Languages,"Formby, Liverpool",Janet,IN,IN,IN,IN,SB,IN,OUT,NA,NA,NA,1,1,1,6,1,8,5,0,0,7,1,87.5,14.285714285714286,14.285714285714286,27 September 2011,16 August 2011,not aired in US,not aired in US
2,19 years,Civil Engineering Student,Croydon,Jason,IN,SB,IN,SB,OUT,NA,NA,NA,NA,NA,2,1,2,3,1,7,6,0,0,5,2,62.5,40,40,13 September 2011,16 August 2011,not aired in US,not aired in US
2,41 years,Housewife,"Ongar, Essex",Joanne,IN,IN,IN,IN,IN,SB,IN,WINNER,NA,NA,1,3,4,4,1,11,4.5,1,0,8,3,100,37.5,50,4 October 2011,16 August 2011,not aired in US,not aired in US
2,31 years,House husband,"Arlesey, Bedfordshire",Keith,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,12,12,12,0,0,1,0,12.5,0,0,16 August 2011,16 August 2011,not aired in US,not aired in US
2,45 years,Housewife,"Kidderminster, Worcestershire",Mary-Anne,IN,IN,IN,IN,IN,IN,IN,RUNNER UP,NA,NA,0,0,4,4,2,9,3.5,0,1,8,0,100,0,50,4 October 2011,16 August 2011,not aired in US,not aired in US
2,25 years,Photographer,London,Robert,IN,IN,IN,IN,OUT,NA,NA,NA,NA,NA,0,0,2,3,3,7,4,0,0,5,0,62.5,0,40,13 September 2011,16 August 2011,not aired in US,not aired in US
2,31 years,Rugby Coach,Norfolk,Simon,IN,OUT,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,9,11,10,0,0,2,0,25,0,0,23 August 2011,16 August 2011,not aired in US,not aired in US
2,40 years,Head of Marketing,"Enfield, London",Urvashi,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,7,9,7,0,0,3,0,37.5,0,0,30 August 2011,16 August 2011,not aired in US,not aired in US
2,43 years,Childminder,"West Kirby, The Wirral",Yasmin,IN,IN,SB,IN,IN,OUT,NA,NA,NA,NA,1,0,2,4,2,6,5,0,0,6,1,75,16.666666666666668,33.333333333333336,20 September 2011,16 August 2011,not aired in US,not aired in US
3,63 years,Recruitment consultant,Sutton Coldfield,Brendan,IN,IN,IN,SB,IN,SB,IN,IN,IN,RUNNER UP,2,2,6,4,1,10,3,0,1,10,2,100,20,60,16 October 2012,14 August 2012,not aired in US,not aired in US
3,27 years,Shop assistant,"Pease Pottage, West Sussex",Cathryn,IN,IN,IN,IN,IN,IN,IN,OUT,NA,NA,0,1,4,4,1,8,4,0,0,8,1,80,12.5,50,2 October 2012,14 August 2012,not aired in US,not aired in US
3,45 years,Intensive care consultant,Sheffield,Danny,IN,IN,IN,IN,IN,IN,SB,IN,OUT,NA,1,0,5,4,2,7,3,0,0,9,1,90,11.11111111111111,55.55555555555556,9 October 2012,14 August 2012,not aired in US,not aired in US
3,20 years,Medical student,"Hillswick, Shetland Islands",James,IN,IN,SB,IN,IN,IN,IN,SB,SB,RUNNER UP,3,5,7,3,1,7,1.5,0,1,10,5,100,50,70,16 October 2012,14 August 2012,not aired in US,not aired in US
3,23 years,Law student,Wigan,John,IN,SB,IN,IN,IN,IN,IN,IN,IN,WINNER,1,1,6,4,1,11,3,1,0,10,2,100,20,60,16 October 2012,14 August 2012,not aired in US,not aired in US
3,27 years,Nursery nurse,Leicester,Manisha,IN,IN,IN,IN,OUT,NA,NA,NA,NA,NA,0,0,0,5,5,10,6,0,0,5,0,50,0,0,11 September 2012,14 August 2012,not aired in US,not aired in US
3,36 years,Midwife,"Tamworth, Staffordshire",Natasha,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,12,12,12,0,0,1,0,10,0,0,14 August 2012,14 August 2012,not aired in US,not aired in US
3,43 years,Sales manager,"Windsor, Berkshire",Peter,IN,OUT,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,3,11,7,0,0,2,0,20,0,50,21 August 2012,14 August 2012,not aired in US,not aired in US
3,38 years,Photographer,Bristol,Ryan,IN,IN,IN,IN,SB,IN,OUT,NA,NA,NA,1,0,0,7,5,8,6,0,0,7,1,70,14.285714285714286,0,25 September 2012,14 August 2012,not aired in US,not aired in US
3,28 years,Vicar's wife,"Bewbush, West Sussex",Sarah-Jane,IN,IN,IN,IN,IN,IN,OUT,NA,NA,NA,0,1,1,6,1,10,4,0,0,7,1,70,14.285714285714286,14.285714285714286,25 September 2012,14 August 2012,not aired in US,not aired in US
3,50 years,CEO of the charity Plantlife,Somerset,Victoria,SB,IN,OUT,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,4,7,4,0,0,3,1,30,33.333333333333336,0,28 August 2012,14 August 2012,not aired in US,not aired in US
3,26 years,PE teacher,"Lichfield, Staffordshire",Stuart,IN,IN,IN,OUT,NA,NA,NA,NA,NA,NA,0,0,0,4,7,9,8.5,0,0,4,0,40,0,0,4 September 2012,14 August 2012,not aired in US,not aired in US
4,25 years,Charity worker,"Saltley, Birmingham",Ali,IN,IN,IN,OUT,NA,NA,NA,NA,NA,NA,0,0,0,4,5,11,8.5,0,0,4,0,40,0,0,10 September 2013,20 August 2013,18-Jan-15,28-Dec-14
4,31 years,Military Wives' Choir Singer,"Aldershot, Hampshire",Beca,IN,IN,IN,IN,IN,IN,IN,IN,OUT,NA,0,1,3,6,1,11,5,0,0,9,1,90,11.11111111111111,33.333333333333336,15 October 2013,20 August 2013,22-Feb-15,28-Dec-14
4,66 years,Director of an engraving company,"Didcot, Oxfordshire",Christine,IN,IN,SB,IN,SB,IN,IN,OUT,NA,NA,2,1,2,6,1,7,4,0,0,8,2,80,25,25,8 October 2013,20 August 2013,15-Feb-15,28-Dec-14
4,51 years,Dentist,Peterborough,Deborah,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,8,9,9,0,0,3,0,30,0,0,3 September 2013,20 August 2013,11-Jan-15,28-Dec-14
4,31 years,Children's Clothes Designer,"Market Harborough, Leicestershire",Frances,IN,IN,IN,IN,IN,IN,SB,IN,IN,WINNER,1,1,7,3,1,8,3,1,0,10,3,100,30,70,22 October 2013,20 August 2013,1-Mar-15,28-Dec-14
4,37 years,English Teacher,"Teignmouth, Devon",Glenn,IN,IN,IN,IN,IN,IN,OUT,NA,NA,NA,0,1,3,4,1,9,4,0,0,7,1,70,14.285714285714286,42.857142857142854,1 October 2013,20 August 2013,8-Feb-15,28-Dec-14
4,51 years,Council Worker,Sheffield,Howard,IN,IN,IN,IN,IN,OUT,NA,NA,NA,NA,0,0,0,6,5,10,7,0,0,6,0,60,0,0,24 September 2013,20 August 2013,1-Feb-15,28-Dec-14
4,30 years,Psychologist,London,Kimberley,IN,IN,IN,SB,IN,IN,IN,IN,SB,RUNNER UP,2,3,5,5,1,10,3.5,0,1,10,4,100,40,50,22 October 2013,20 August 2013,1-Mar-15,28-Dec-14
4,38 years,Horticulturist,"Grimsby, Lincolnshire",Lucy,IN,OUT,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,12,7,0,0,2,0,20,0,50,27 August 2013,20 August 2013,4-Jan-15,28-Dec-14
4,37 years,Carpenter & Kitchen Fitter,Milton Keynes,Mark,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,5,11,6,0,0,3,0,30,0,0,3 September 2013,20 August 2013,11-Jan-15,28-Dec-14
4,54 years,Space Satellite Designer,"Melbourn, Cambridgeshire",Robert,SB,IN,IN,IN,OUT,NA,NA,NA,NA,NA,1,1,3,2,1,5,3,0,0,5,1,50,20,60,17 September 2013,20 August 2013,25-Jan-15,28-Dec-14
4,20 years,History of Art and Philosophy Student,"Southend, Essex",Ruby,IN,SB,IN,IN,IN,SB,IN,SB,IN,RUNNER UP,3,2,6,4,1,12,3,0,1,10,3,100,30,60,22 October 2013,20 August 2013,1-Mar-15,28-Dec-14
4,30 years,Web Programmer,"Reading, Berkshire",Toby,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,13,13,13,0,0,1,0,10,0,0,20 August 2013,20 August 2013,28-Dec-14,28-Dec-14
5,35 years,Fashion designer,"Broadstairs, Kent",Chetna,IN,IN,IN,IN,IN,SB,IN,IN,OUT,NA,1,1,5,4,1,8,3,0,0,9,2,90,22.22222222222222,55.55555555555556,1 October 2014,6 August 2014,1-Nov-15,6-Sep-15
5,31 years,Speech therapist,"Ashton on Mersey, Trafford",Claire,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,8,8,8,0,0,1,0,10,0,0,6 August 2014,6 August 2014,6-Sep-15,6-Sep-15
5,69 years,Women's Institute (WI) judge,"Alkington, Shropshire",Diana,IN,IN,IN,IN,LEFT,NA,NA,NA,NA,NA,0,0,0,4,5,9,7,0,0,5,0,50,0,0,3 September 2014,6 August 2014,4-Oct-15,6-Sep-15
5,39 years,Business consultant,"Portsmouth, Hampshire",Enwezor,IN,OUT,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,9,9,9,0,0,2,0,20,0,0,13 August 2014,6 August 2014,13-Sep-15,6-Sep-15
5,31 years,Construction engineer,London / Belfast,Iain,IN,IN,IN,OUT,NA,NA,NA,NA,NA,NA,0,0,0,4,4,11,7.5,0,0,4,0,40,0,0,27 August 2014,6 August 2014,27-Sep-15,6-Sep-15
5,32 years,IT manager,"Sneinton, Nottingham",Jordan,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,6,12,10,0,0,3,0,30,0,0,20 August 2014,6 August 2014,20-Sep-15,6-Sep-15
5,41 years,Furniture restorer,"Brighton, East Sussex",Kate,IN,IN,IN,IN,SB,IN,OUT,NA,NA,NA,1,1,2,5,1,7,4,0,0,7,2,70,28.571428571428573,28.571428571428573,17 September 2014,6 August 2014,18-Oct-15,6-Sep-15
5,42 years,Graphic designer,"Poynton, Cheshire",Luis,IN,IN,SB,IN,IN,IN,IN,IN,IN,RUNNER UP,1,1,7,3,1,7,2.5,0,1,10,2,100,20,70,8 October 2014,6 August 2014,8-Nov-15,6-Sep-15
5,17 years,Student,"Ascot, Berkshire",Martha,IN,IN,IN,IN,IN,IN,IN,OUT,NA,NA,0,2,5,3,1,5,3,0,0,8,2,80,25,62.5,24 September 2014,6 August 2014,25-Oct-15,6-Sep-15
5,60 years,Retired practice manager,"Barton-Upon-Humber, Lincolnshire",Nancy,SB,IN,IN,IN,IN,IN,IN,IN,IN,WINNER,1,3,7,3,1,5,2.5,1,0,10,3,100,30,70,8 October 2014,6 August 2014,8-Nov-15,6-Sep-15
5,66 years,Retired naval officer,"Portknockie, Moray",Norman,IN,IN,IN,IN,OUT,NA,NA,NA,NA,NA,0,0,0,5,4,11,8,0,0,5,0,50,0,0,3 September 2014,6 August 2014,4-Oct-15,6-Sep-15
5,38 years,Builder,"Mill Hill, London",Richard,IN,SB,IN,SB,IN,IN,SB,SB,SB,RUNNER UP,5,2,4,6,1,10,4.5,0,1,10,5,100,50,40,8 October 2014,6 August 2014,8-Nov-15,6-Sep-15
6,37 years,Nurse,"Bracknell, Berkshire",Alvin,IN,IN,IN,IN,IN,OUT,NA,NA,NA,NA,0,0,1,5,2,9,6,0,0,6,0,60,0,16.666666666666668,9 September 2015,5 August 2015,22-Jul-16,1-Jul-16
6,53 years,Accountant,"Penwortham, Lancashire",Dorret,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,6,5,0,0,3,1,30,33.333333333333336,33.333333333333336,19 August 2015,5 August 2015,15-Jul-16,1-Jul-16
6,19 years,Art gallery assistant,"Dunkeld, Perth and Kinross",Flora,IN,IN,IN,IN,IN,IN,IN,IN,OUT,NA,0,1,7,2,1,6,3,0,0,9,1,90,11.11111111111111,77.77777777777777,30 September 2015,5 August 2015,5-Aug-16,1-Jul-16
6,41 years,Travel photographer,"Great Wilbraham, Cambridgeshire",Ian,IN,SB,SB,SB,IN,IN,IN,IN,IN,RUNNER UP,3,1,6,4,1,8,3,0,1,10,3,100,30,60,7 October 2015,5 August 2015,12-Aug-16,1-Jul-16
6,66 years,Retired,"Auchterarder, Perthshire",Marie,SB,OUT,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,3,11,7,0,0,2,1,20,50,50,12 August 2015,5 August 2015,8-Jul-16,1-Jul-16
6,37 years,Fire fighter,London,Mat,IN,IN,IN,IN,IN,SB,OUT,NA,NA,NA,1,1,1,6,1,8,6,0,0,7,1,70,14.285714285714286,14.285714285714286,16 September 2015,5 August 2015,29-Jul-16,1-Jul-16
6,30 years,Full-time mother,Leeds / Luton,Nadiya,IN,IN,IN,IN,SB,IN,IN,SB,SB,WINNER,3,4,4,6,1,12,4,1,0,10,5,100,50,40,7 October 2015,5 August 2015,12-Aug-16,1-Jul-16
6,49 years,Prison governor,"Swansea, Wales",Paul,IN,IN,IN,IN,IN,IN,IN,OUT,NA,NA,0,1,3,5,1,10,5,0,0,8,1,80,12.5,37.5,23 September 2015,5 August 2015,29-Jul-16,1-Jul-16
6,49 years,Child welfare officer,"Yeadon, West Yorkshire",Sandy,IN,IN,IN,OUT,NA,NA,NA,NA,NA,NA,0,0,0,4,4,9,6.5,0,0,4,0,40,0,0,26 August 2015,5 August 2015,15-Jul-16,1-Jul-16
6,35 years,Professional musician,"Guildford, Surrey",Stu,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,11,11,11,0,0,1,0,10,0,0,5 August 2015,5 August 2015,1-Jul-16,1-Jul-16
6,29 years,Trainee anaesthetist,Manchester,Tamal,IN,IN,IN,IN,IN,IN,SB,IN,IN,RUNNER UP,1,0,4,6,2,8,4,0,1,10,1,100,10,40,7 October 2015,5 August 2015,12-Aug-16,1-Jul-16
6,32 years,PA and administrator,"Woodford, London",UgnÄ—,IN,IN,IN,IN,OUT,NA,NA,NA,NA,NA,0,1,2,3,1,7,5,0,0,5,1,50,20,40,2 September 2015,5 August 2015,22-Jul-16,1-Jul-16
7,25 years,Aerospace engineer,"Derby / Holywood, County Down",Andrew,IN,IN,IN,IN,IN,IN,SB,IN,SB,RUNNER UP,2,2,5,5,1,12,3,0,1,10,3,100,30,50,26 October 2016,24 August 2016,4-Aug-17,16-Jun-17
7,23 years,Teaching assistant,South London,Benjamina,IN,IN,IN,SB,IN,IN,IN,OUT,NA,NA,1,1,4,4,1,6,3.5,0,0,8,1,80,12.5,50,12 October 2016,24 August 2016,28-Jul-17,16-Jun-17
7,31 years,PE teacher,"Barton-Le-Clay, Bedfordshire",Candice,IN,SB,IN,IN,SB,IN,IN,SB,IN,WINNER,3,1,7,3,1,8,2.5,1,0,10,4,100,40,70,26 October 2016,24 August 2016,4-Aug-17,16-Jun-17
7,61 years,Garden designer,Beckenham,Jane,SB,IN,IN,IN,IN,IN,IN,IN,IN,RUNNER UP,1,2,5,5,1,9,3.5,0,1,10,3,100,30,50,26 October 2016,24 August 2016,4-Aug-17,16-Jun-17
7,37 years,Nurse,"Brooke, Norfolk",Kate,IN,IN,IN,OUT,NA,NA,NA,NA,NA,NA,0,1,1,3,1,8,5.5,0,0,4,1,40,25,25,14 September 2016,24 August 2016,30-Jun-17,16-Jun-17
7,67 years,Pastor,Bolton,Lee,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,11,11,11,0,0,1,0,10,0,0,24 August 2016,24 August 2016,16-Jun-17,16-Jun-17
7,46 years,Hairdresser,Cardiff,Louise,IN,OUT,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,9,10,9.5,0,0,2,0,20,0,0,31 August 2016,24 August 2016,16-Jun-17,16-Jun-17
7,20 years,Student,Durham,Michael,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,3,9,7,0,0,3,0,30,0,33.333333333333336,7 September 2016,24 August 2016,23-Jun-17,16-Jun-17
7,28 years,Student support,Erith,Rav,IN,IN,IN,IN,IN,OUT,NA,NA,NA,NA,0,0,1,5,3,10,8,0,0,6,0,60,0,16.666666666666668,28 September 2016,24 August 2016,14-Jul-17,16-Jun-17
7,30 years,Client service associate,London,Selasi,IN,IN,IN,IN,IN,IN,IN,IN,OUT,NA,0,1,3,6,1,11,5,0,0,9,1,90,11.11111111111111,33.333333333333336,19 October 2016,24 August 2016,4-Aug-17,16-Jun-17
7,26 years,Project engagement manager,Rochdale,Tom,IN,IN,SB,IN,IN,SB,OUT,NA,NA,NA,2,1,2,5,1,7,4,0,0,7,2,70,28.571428571428573,28.571428571428573,5 October 2016,24 August 2016,21-Jul-17,16-Jun-17
7,66 years,"Semi-retired, Substitute teacher",Yeovil,Val,IN,IN,IN,IN,OUT,NA,NA,NA,NA,NA,0,1,1,4,1,10,6,0,0,5,1,50,20,20,21 September 2016,24 August 2016,7-Jul-17,16-Jun-17
8,50 years,Software developer,Bristol,Chris,IN,OUT,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,11,12,11.5,0,0,2,0,20,0,0,5 September 2017,29 August 2017,not aired in US,not aired in US
8,71 years,Retired,Merseyside,Flo,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,7,10,9,0,0,3,0,30,0,0,12 September 2017,29 August 2017,not aired in US,not aired in US
8,46 years,Banker,"Brentwood, Essex",James,IN,IN,IN,IN,OUT,NA,NA,NA,NA,NA,0,0,3,2,2,9,3,0,0,5,0,50,0,60,26 September 2017,29 August 2017,not aired in US,not aired in US
8,21 years,Aviation Broker,"Crawley, West Sussex",Julia,IN,IN,SB,IN,IN,OUT,NA,NA,NA,NA,1,0,3,3,2,9,3.5,0,0,6,1,60,16.666666666666668,50,3 October 2017,29 August 2017,not aired in US,not aired in US
8,29 years,Health and safety inspector,Merseyside,Kate,IN,IN,IN,SB,IN,IN,IN,IN,IN,RUNNER UP,1,1,3,7,1,10,5.5,0,1,10,2,100,20,30,31 October 2017,29 August 2017,not aired in US,not aired in US
8,19 years,Student,North London,Liam,IN,IN,IN,IN,IN,SB,IN,OUT,NA,NA,1,0,3,5,2,8,4.5,0,0,8,1,80,12.5,37.5,17 October 2017,29 August 2017,not aired in US,not aired in US
8,52 years,IT programme manager,"Southend, Essex",Peter,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,10,10,10,0,0,1,0,10,0,0,29 August 2017,29 August 2017,not aired in US,not aired in US
8,33 years,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Sophie,IN,IN,IN,IN,SB,IN,IN,IN,SB,WINNER,2,2,6,4,1,6,2.5,1,0,10,3,100,30,60,31 October 2017,29 August 2017,not aired in US,not aired in US
8,42 years,Former school teacher,"Radlett, Hertfordshire",Stacey,IN,IN,IN,IN,IN,IN,IN,SB,OUT,NA,1,2,4,5,1,11,4,0,0,9,3,90,33.333333333333336,44.44444444444444,24 October 2017,29 August 2017,not aired in US,not aired in US
8,34 years,Marketer,"Watford, Hertfordshire",Steven,SB,SB,IN,IN,IN,IN,SB,IN,IN,RUNNER UP,3,3,6,4,1,7,3,0,1,10,5,100,50,60,31 October 2017,29 August 2017,not aired in US,not aired in US
8,29 years,Architect,Edinburgh,Tom,IN,IN,IN,OUT,NA,NA,NA,NA,NA,NA,0,0,0,4,4,7,5,0,0,4,0,40,0,0,19 September 2017,29 August 2017,not aired in US,not aired in US
8,46 years,Laboratory research scientist,North London,Yan,IN,IN,IN,IN,IN,IN,OUT,NA,NA,NA,0,2,2,5,1,8,5,0,0,7,2,70,28.571428571428573,28.571428571428573,10 October 2017,29 August 2017,not aired in US,not aired in US
