Weekday,CM / Block,Month,Day,Reading,material,material_link,ps,ps_link,big_lab,big_lab_link
Tues,1: Working with data in R,June,26,,Warm-up survey,http://bit.ly/conj620-hi,-,,,
Thurs,1.2,June,28,<a href='http://moderndive.netlify.com/index.html#sec:intro-for-students'>- MD Ch 1.1: Introduction</a><br><a href='http://moderndive.netlify.com/2-getting-started.html'>- MD Ch 2: Getting Started</a>,DC1: Intro to the Tidyverse (Ch 1 + 2),https://www.datacamp.com/courses/introduction-to-the-tidyverse,,,,
Tues,1.3,July,3,<a href='http://moderndive.netlify.com/3-viz.html'>- MD Ch 3: Data Visualization</a><br><a href='http://r4ds.had.co.nz/workflow-basics.html'>- R4DS Ch 4: Workflow Basics</a><br><a href='http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1002128'>- Weissberger: Bar Plots</a>,DC1: Intro to the Tidyverse (Ch 3 + 4),https://www.datacamp.com/courses/introduction-to-the-tidyverse,Lab 2,cm012-solutions.html,,
Thurs,1.4,July,5,<a href='http://moderndive.netlify.com/4-tidy.html'>- MD Ch 4: Tidy Data</a><br><a href='http://r4ds.had.co.nz/workflow-scripts.html'>- R4DS Ch 6: Workflow Scripts</a>,"DC2: Working with the RStudio IDE (Part 1, Ch 1)",https://www.datacamp.com/courses/working-with-the-rstudio-ide-part-1,Lab 3,cm013.html,,
Tues,1.5,July,10,<a href='http://moderndive.netlify.com/5-wrangling.html'>- MD Ch 5: Data Wrangling</a><br><a href='http://r4ds.had.co.nz/exploratory-data-analysis.html'>- R4DS Ch 7: Exploratory Data Analysis</a><br><a href='http://r4ds.had.co.nz/workflow-projects.html'>- R4DS Ch 8: Workflow Projects</a>,DC3: Intro to Data (Ch 1 + 2),https://www.datacamp.com/courses/introduction-to-data,Lab 4,cm014.html,,
Thurs,1.6,July,12,<br><a href='http://r4ds.had.co.nz/data-import.html'>- R4DS Ch 11: Data Import</a><br><a href='http://r4ds.had.co.nz/relational-data.html'>- R4DS Ch 13: Relational Data</a><br><a href='https://peerj.com/preprints/3139/'>- PEERJ: Data for Collaboration</a><br><a href='https://peerj.com/preprints/3183/'>- PEERJ: Spreadsheets</a>,DC3: Intro to Data (Ch 3 + 4),https://www.datacamp.com/courses/introduction-to-data,Lab 5,cm015.html,,
Tues,2: Linear models,July,17,<a href='http://moderndive.netlify.com/6-regression.html'>- MD Ch 6: Basic Regression</a><br><a href = 'https://www.nature.com/articles/nmeth.3627'>- Nature POS: SLR</a>,DC4: Working with Data in the Tidyverse (Ch 1 + 2),https://www.datacamp.com/courses/working-with-data-in-the-tidyverse,,,Lab 6 (Initial),cm016.html
Thurs,2.2,July,19,<a href='http://moderndive.netlify.com/7-multiple-regression.html'>- MD Ch: Multiple Regression</a><br><a href = 'https://www.nature.com/articles/nmeth.3665'>- Nature POS: MLR</a>,DC4: Working with Data in the Tidyverse (Ch 3 + 4),https://www.datacamp.com/courses/working-with-data-in-the-tidyverse,Lab 7,cm021.html,Lab 6 (Final),cm016.html
Tues,2.3,July,24,"<a href='https://www.nature.com/articles/nmeth.2613'>- Nature POS: Uncertainty</a><br><a href='https://www.nature.com/articles/nmeth.2659'>- Nature POS: Error bars</a><br><a href='https://statsbylopez.com/2015/08/31/regression-or-reversion/'>- Blog: Regression to the mean</a><br><a href='https://www.youtube.com/watch?time_continue=1&v=ebEkn-BiW5k'>- YouTube: Simpson's Paradox, Part 1</a><br><a href='https://www.youtube.com/watch?v=E_ME4P9fQbo'>- YouTube: Simpson's Paradox, Part 2</a>",DC5: Intro to Modeling in the Tidyverse (Ch 1 + 2),https://www.datacamp.com/courses/modeling-with-data-in-the-tidyverse,Lab 8,cm022.html,,
Thurs,2.4,July,26,<a href='https://www.markdowntutorial.com'>- Markdown Tutorial</a><br><a href='http://r4ds.had.co.nz/r-markdown.html'>- R4DS Ch 27: R Markdown</a><br><a href='http://r4ds.had.co.nz/factors.html'>- R4DS Ch 15: Factors</a>,DC5: Intro to Modeling in the Tidyverse (Ch 3 + 4),https://www.datacamp.com/courses/modeling-with-data-in-the-tidyverse,-,,,
Tues,2.5,July,31,<a href = 'https://www.nature.com/articles/nmeth.3812'>- Nature POS: Outliers</a><br><a href = 'https://www.nature.com/articles/nmeth.3854'>- Nature POS: Diagnostics</a>,DC6: Exploratory Data Analysis Case Study (Ch 1 + 2),https://www.datacamp.com/courses/exploratory-data-analysis-in-r-case-study,Lab 9,cm024.html,,
Thurs,2.6,August,2,,DC6: Exploratory Data Analysis Case Study (Ch 3 + 4),https://www.datacamp.com/courses/exploratory-data-analysis-in-r-case-study,-,,,
Tues,3: Inference,August,7,<a href='http://moderndive.netlify.com/8-sampling.html'>- MD Ch 8: Sampling</a>,DC7: Inference for Numerical Data (Ch 1 + 2),https://www.datacamp.com/courses/inference-for-numerical-data,-,http://ismayc.github.io/soc301_s2017/problem-sets/index.html#ps6,,
Thurs,3.2,August,9,"<a href='http://moderndive.netlify.com/9-confidence-intervals'>- MD  Ch 9: Confidence Intervals</a><br><a href='https://www.nature.com/articles/nmeth.3414"">- Nature POS: Bootstrapping</a>",DC7: Inference for Numerical Data (Ch 3 + 4),https://www.datacamp.com/courses/inference-for-numerical-data,-,http://ismayc.github.io/soc301_s2017/problem-sets/index.html#ps7,,
Tues,3.3,August,14,<a href='http://moderndive.netlify.com/10-hypothesis-testing.html'>- MD Ch 10: Hypothesis Testing </a><br><a href='http://moderndive.netlify.com/b-appendixb'>- MD Appendix B: Inference Examples</a>,DC8: Inference for Categorical Data (Ch 1 + 2),https://www.datacamp.com/courses/inference-for-categorical-data,-,,,
Thurs,3.4,August,16,<a href='https://www.nature.com/articles/nmeth.2698'>- Nature POS: t-tests</a><br><a href='https://www.nature.com/articles/nmeth.2858'>- Nature POS: comparing samples</a>,DC8: Inference for Categorical Data (Ch 3 + 4),https://www.datacamp.com/courses/inference-for-categorical-data,-,https://goo.gl/forms/tCBFF7cuMbYgPIyb2,,
Tues,3.5,August,21,<a href='https://www.nature.com/news/scientific-method-statistical-errors-1.14700'>- Nature: p-values</a><br><a href = 'https://fivethirtyeight.com/features/science-isnt-broken/#part1'>- 538: Science Isn't Broken</a><br><a href='https://simplystatistics.org/2012/01/06/p-values-and-hypothesis-testing-get-a-bad-rap-but-we/'>- Simply Statistics blog</a><br><a href='http://daniellakens.blogspot.com/2017/12/understanding-common-misconceptions.html'>- Lakens blog</a>,DC9: Inference for Linear Regression (Ch 1 + 2),https://www.datacamp.com/courses/inference-for-linear-regression,-,,,
Thurs,3.6,August,23,<a href='https://www.nature.com/articles/nmeth.3005'>- Nature POS: ANOVA</a><br><a href='https://www.nature.com/articles/nmeth.2900'>- Nature POS: multiple comparisons</a><br><a href = 'https://arxiv.org/pdf/1412.3416.pdf'>- ANOVA</a>,DC9: Inference for Linear Regression (Ch 3 - 5),https://www.datacamp.com/courses/inference-for-linear-regression,-,,,
Tues,4: Mixed models,August,28,<a href='http://thestudyofthehousehold.com/2018/02/28/2018-02-28-formulae-are-a-lot-like-french-slang/'>- Mixed Modeling as a Foreign Language</a>,DC10: Hierarchical & Mixed Effects Models (Ch 1 + 2),https://www.datacamp.com/courses/hierarchical-and-mixed-effects-models,-,,,
Thurs,4.2,August,30,<a href='https://peerj.com/articles/4794/'>- PEERJ article</a>,DC10: Hierarchical & Mixed Effects Models (Ch 3 + 4),https://www.datacamp.com/courses/hierarchical-and-mixed-effects-models,-,http://ismayc.github.io/soc301_s2017/problem-sets/index.html#ps9,,
Tues,4.3,September,4,<a href='https://m-clark.github.io/mixed-models-with-R/'>- Mixed Models in R</a>,DC11: Communicating with Data in the Tidyverse,https://www.datacamp.com/courses/communicating-with-data-in-the-tidyverse,-,,,
Thurs,5.1: Wrap-up,September,6,<a href='http://biostat.mc.vanderbilt.edu/wiki/Main/ManuscriptChecklist'>- Frank Harrell's Manuscript Checklist</a>,DC11: Communicating with Data in the Tidyverse,https://www.datacamp.com/courses/communicating-with-data-in-the-tidyverse,-,http://ismayc.github.io/soc301_s2017/problem-sets/index.html#ps10,,
Tues,5.2: Final presentations,September,11,,,,-,,,
Thurs,5.3: Final presentations,September,13,,,,-,http://ismayc.github.io/soc301_s2017/problem-sets/index.html#ps11,,