series,episode,baker,result
1,1,Annetha,IN
1,2,Annetha,OUT
1,3,Annetha,NA
1,4,Annetha,NA
1,5,Annetha,NA
1,6,Annetha,NA
1,1,David,IN
1,2,David,IN
1,3,David,IN
1,4,David,OUT
1,5,David,NA
1,6,David,NA
1,1,Edd,IN
1,2,Edd,IN
1,3,Edd,IN
1,4,Edd,IN
1,5,Edd,IN
1,6,Edd,WINNER
1,1,Jasminder,IN
1,2,Jasminder,IN
1,3,Jasminder,IN
1,4,Jasminder,IN
1,5,Jasminder,OUT
1,6,Jasminder,NA
1,1,Jonathan,IN
1,2,Jonathan,IN
1,3,Jonathan,OUT
1,4,Jonathan,NA
1,5,Jonathan,NA
1,6,Jonathan,NA
1,1,Lea,OUT
1,2,Lea,NA
1,3,Lea,NA
1,4,Lea,NA
1,5,Lea,NA
1,6,Lea,NA
1,1,Louise,IN
1,2,Louise,OUT
1,3,Louise,NA
1,4,Louise,NA
1,5,Louise,NA
1,6,Louise,NA
1,1,Mark,OUT
1,2,Mark,NA
1,3,Mark,NA
1,4,Mark,NA
1,5,Mark,NA
1,6,Mark,NA
1,1,Miranda,IN
1,2,Miranda,IN
1,3,Miranda,IN
1,4,Miranda,IN
1,5,Miranda,IN
1,6,Miranda,Runner-up
1,1,Ruth,IN
1,2,Ruth,IN
1,3,Ruth,IN
1,4,Ruth,IN
1,5,Ruth,IN
1,6,Ruth,Runner-up
2,1,Ben,IN
2,2,Ben,IN
2,3,Ben,IN
2,4,Ben,OUT
2,5,Ben,NA
2,6,Ben,NA
2,7,Ben,NA
2,8,Ben,NA
2,1,Holly,STAR BAKER
2,2,Holly,IN
2,3,Holly,IN
2,4,Holly,STAR BAKER
2,5,Holly,IN
2,6,Holly,IN
2,7,Holly,IN
2,8,Holly,Runner-up
2,1,Ian,IN
2,2,Ian,IN
2,3,Ian,OUT
2,4,Ian,NA
2,5,Ian,NA
2,6,Ian,NA
2,7,Ian,NA
2,8,Ian,NA
2,1,Janet,IN
2,2,Janet,IN
2,3,Janet,IN
2,4,Janet,IN
2,5,Janet,STAR BAKER
2,6,Janet,IN
2,7,Janet,OUT
2,8,Janet,NA
2,1,Jason,IN
2,2,Jason,STAR BAKER
2,3,Jason,IN
2,4,Jason,STAR BAKER
2,5,Jason,OUT
2,6,Jason,NA
2,7,Jason,NA
2,8,Jason,NA
2,1,Joanne,IN
2,2,Joanne,IN
2,3,Joanne,IN
2,4,Joanne,IN
2,5,Joanne,IN
2,6,Joanne,STAR BAKER
2,7,Joanne,IN
2,8,Joanne,WINNER
2,1,Keith,OUT
2,2,Keith,NA
2,3,Keith,NA
2,4,Keith,NA
2,5,Keith,NA
2,6,Keith,NA
2,7,Keith,NA
2,8,Keith,NA
2,1,Mary-Anne,IN
2,2,Mary-Anne,IN
2,3,Mary-Anne,IN
2,4,Mary-Anne,IN
2,5,Mary-Anne,IN
2,6,Mary-Anne,IN
2,7,Mary-Anne,IN
2,8,Mary-Anne,Runner-up
2,1,Robert,IN
2,2,Robert,IN
2,3,Robert,IN
2,4,Robert,IN
2,5,Robert,OUT
2,6,Robert,NA
2,7,Robert,NA
2,8,Robert,NA
2,1,Simon,IN
2,2,Simon,OUT
2,3,Simon,NA
2,4,Simon,NA
2,5,Simon,NA
2,6,Simon,NA
2,7,Simon,NA
2,8,Simon,NA
2,1,Urvashi,IN
2,2,Urvashi,IN
2,3,Urvashi,OUT
2,4,Urvashi,NA
2,5,Urvashi,NA
2,6,Urvashi,NA
2,7,Urvashi,NA
2,8,Urvashi,NA
2,1,Yasmin,IN
2,2,Yasmin,IN
2,3,Yasmin,STAR BAKER
2,4,Yasmin,IN
2,5,Yasmin,IN
2,6,Yasmin,OUT
2,7,Yasmin,NA
2,8,Yasmin,NA
3,1,Brendan,IN
3,2,Brendan,IN
3,3,Brendan,IN
3,4,Brendan,STAR BAKER
3,5,Brendan,IN
3,6,Brendan,STAR BAKER
3,7,Brendan,IN
3,8,Brendan,IN
3,9,Brendan,IN
3,10,Brendan,Runner-up
3,1,Cathryn,IN
3,2,Cathryn,IN
3,3,Cathryn,IN
3,4,Cathryn,IN
3,5,Cathryn,IN
3,6,Cathryn,IN
3,7,Cathryn,IN
3,8,Cathryn,OUT
3,9,Cathryn,NA
3,10,Cathryn,NA
3,1,Danny,IN
3,2,Danny,IN
3,3,Danny,IN
3,4,Danny,IN
3,5,Danny,IN
3,6,Danny,IN
3,7,Danny,STAR BAKER
3,8,Danny,IN
3,9,Danny,OUT
3,10,Danny,NA
3,1,James,IN
3,2,James,IN
3,3,James,STAR BAKER
3,4,James,IN
3,5,James,IN
3,6,James,IN
3,7,James,IN
3,8,James,STAR BAKER
3,9,James,STAR BAKER
3,10,James,Runner-up
3,1,John,IN
3,2,John,STAR BAKER
3,3,John,IN
3,4,John,IN
3,5,John,IN
3,6,John,IN
3,7,John,IN
3,8,John,IN
3,9,John,IN
3,10,John,WINNER
3,1,Manisha,IN
3,2,Manisha,IN
3,3,Manisha,IN
3,4,Manisha,IN
3,5,Manisha,OUT
3,6,Manisha,NA
3,7,Manisha,NA
3,8,Manisha,NA
3,9,Manisha,NA
3,10,Manisha,NA
3,1,Natasha,OUT
3,2,Natasha,NA
3,3,Natasha,NA
3,4,Natasha,NA
3,5,Natasha,NA
3,6,Natasha,NA
3,7,Natasha,NA
3,8,Natasha,NA
3,9,Natasha,NA
3,10,Natasha,NA
3,1,Peter,IN
3,2,Peter,OUT
3,3,Peter,NA
3,4,Peter,NA
3,5,Peter,NA
3,6,Peter,NA
3,7,Peter,NA
3,8,Peter,NA
3,9,Peter,NA
3,10,Peter,NA
3,1,Ryan,IN
3,2,Ryan,IN
3,3,Ryan,IN
3,4,Ryan,IN
3,5,Ryan,STAR BAKER
3,6,Ryan,IN
3,7,Ryan,OUT
3,8,Ryan,NA
3,9,Ryan,NA
3,10,Ryan,NA
3,1,Sarah-Jane,IN
3,2,Sarah-Jane,IN
3,3,Sarah-Jane,IN
3,4,Sarah-Jane,IN
3,5,Sarah-Jane,IN
3,6,Sarah-Jane,IN
3,7,Sarah-Jane,OUT
3,8,Sarah-Jane,NA
3,9,Sarah-Jane,NA
3,10,Sarah-Jane,NA
3,1,Stuart,IN
3,2,Stuart,IN
3,3,Stuart,IN
3,4,Stuart,OUT
3,5,Stuart,NA
3,6,Stuart,NA
3,7,Stuart,NA
3,8,Stuart,NA
3,9,Stuart,NA
3,10,Stuart,NA
3,1,Victoria,STAR BAKER
3,2,Victoria,IN
3,3,Victoria,OUT
3,4,Victoria,NA
3,5,Victoria,NA
3,6,Victoria,NA
3,7,Victoria,NA
3,8,Victoria,NA
3,9,Victoria,NA
3,10,Victoria,NA
4,1,Ali,IN
4,2,Ali,IN
4,3,Ali,IN
4,4,Ali,OUT
4,5,Ali,NA
4,6,Ali,NA
4,7,Ali,NA
4,8,Ali,NA
4,9,Ali,NA
4,10,Ali,NA
4,1,Beca,IN
4,2,Beca,IN
4,3,Beca,IN
4,4,Beca,IN
4,5,Beca,IN
4,6,Beca,IN
4,7,Beca,IN
4,8,Beca,IN
4,9,Beca,OUT
4,10,Beca,NA
4,1,Christine,IN
4,2,Christine,IN
4,3,Christine,STAR BAKER
4,4,Christine,IN
4,5,Christine,STAR BAKER
4,6,Christine,IN
4,7,Christine,IN
4,8,Christine,OUT
4,9,Christine,NA
4,10,Christine,NA
4,1,Deborah,IN
4,2,Deborah,IN
4,3,Deborah,OUT
4,4,Deborah,NA
4,5,Deborah,NA
4,6,Deborah,NA
4,7,Deborah,NA
4,8,Deborah,NA
4,9,Deborah,NA
4,10,Deborah,NA
4,1,Frances,IN
4,2,Frances,IN
4,3,Frances,IN
4,4,Frances,IN
4,5,Frances,IN
4,6,Frances,IN
4,7,Frances,STAR BAKER
4,8,Frances,IN
4,9,Frances,IN
4,10,Frances,WINNER
4,1,Glenn,IN
4,2,Glenn,IN
4,3,Glenn,IN
4,4,Glenn,IN
4,5,Glenn,IN
4,6,Glenn,IN
4,7,Glenn,OUT
4,8,Glenn,NA
4,9,Glenn,NA
4,10,Glenn,NA
4,1,Howard,IN
4,2,Howard,IN
4,3,Howard,IN
4,4,Howard,IN
4,5,Howard,IN
4,6,Howard,OUT
4,7,Howard,NA
4,8,Howard,NA
4,9,Howard,NA
4,10,Howard,NA
4,1,Kimberley,IN
4,2,Kimberley,IN
4,3,Kimberley,IN
4,4,Kimberley,STAR BAKER
4,5,Kimberley,IN
4,6,Kimberley,IN
4,7,Kimberley,IN
4,8,Kimberley,IN
4,9,Kimberley,STAR BAKER
4,10,Kimberley,Runner-up
4,1,Lucy,IN
4,2,Lucy,OUT
4,3,Lucy,NA
4,4,Lucy,NA
4,5,Lucy,NA
4,6,Lucy,NA
4,7,Lucy,NA
4,8,Lucy,NA
4,9,Lucy,NA
4,10,Lucy,NA
4,1,Mark,IN
4,2,Mark,IN
4,3,Mark,OUT
4,4,Mark,NA
4,5,Mark,NA
4,6,Mark,NA
4,7,Mark,NA
4,8,Mark,NA
4,9,Mark,NA
4,10,Mark,NA
4,1,Robert,STAR BAKER
4,2,Robert,IN
4,3,Robert,IN
4,4,Robert,IN
4,5,Robert,OUT
4,6,Robert,NA
4,7,Robert,NA
4,8,Robert,NA
4,9,Robert,NA
4,10,Robert,NA
4,1,Ruby,IN
4,2,Ruby,STAR BAKER
4,3,Ruby,IN
4,4,Ruby,IN
4,5,Ruby,IN
4,6,Ruby,STAR BAKER
4,7,Ruby,IN
4,8,Ruby,STAR BAKER
4,9,Ruby,IN
4,10,Ruby,Runner-up
4,1,Toby,OUT
4,2,Toby,NA
4,3,Toby,NA
4,4,Toby,NA
4,5,Toby,NA
4,6,Toby,NA
4,7,Toby,NA
4,8,Toby,NA
4,9,Toby,NA
4,10,Toby,NA
5,1,Chetna,IN
5,2,Chetna,IN
5,3,Chetna,IN
5,4,Chetna,IN
5,5,Chetna,IN
5,6,Chetna,STAR BAKER
5,7,Chetna,IN
5,8,Chetna,IN
5,9,Chetna,OUT
5,10,Chetna,NA
5,1,Claire,OUT
5,2,Claire,NA
5,3,Claire,NA
5,4,Claire,NA
5,5,Claire,NA
5,6,Claire,NA
5,7,Claire,NA
5,8,Claire,NA
5,9,Claire,NA
5,10,Claire,NA
5,1,Diana,IN
5,2,Diana,IN
5,3,Diana,IN
5,4,Diana,IN
5,5,Diana,SICK
5,6,Diana,IN
5,7,Diana,IN
5,8,Diana,IN
5,9,Diana,IN
5,10,Diana,IN
5,1,Enwezor,IN
5,2,Enwezor,OUT
5,3,Enwezor,NA
5,4,Enwezor,NA
5,5,Enwezor,NA
5,6,Enwezor,NA
5,7,Enwezor,NA
5,8,Enwezor,NA
5,9,Enwezor,NA
5,10,Enwezor,NA
5,1,Iain,IN
5,2,Iain,IN
5,3,Iain,IN
5,4,Iain,OUT
5,5,Iain,NA
5,6,Iain,NA
5,7,Iain,NA
5,8,Iain,NA
5,9,Iain,NA
5,10,Iain,NA
5,1,Jordan,IN
5,2,Jordan,IN
5,3,Jordan,OUT
5,4,Jordan,NA
5,5,Jordan,NA
5,6,Jordan,NA
5,7,Jordan,NA
5,8,Jordan,NA
5,9,Jordan,NA
5,10,Jordan,NA
5,1,Kate,IN
5,2,Kate,IN
5,3,Kate,IN
5,4,Kate,IN
5,5,Kate,STAR BAKER
5,6,Kate,IN
5,7,Kate,OUT
5,8,Kate,NA
5,9,Kate,NA
5,10,Kate,NA
5,1,Luis,IN
5,2,Luis,IN
5,3,Luis,STAR BAKER
5,4,Luis,IN
5,5,Luis,IN
5,6,Luis,IN
5,7,Luis,IN
5,8,Luis,IN
5,9,Luis,IN
5,10,Luis,Runner-up
5,1,Martha,IN
5,2,Martha,IN
5,3,Martha,IN
5,4,Martha,IN
5,5,Martha,IN
5,6,Martha,IN
5,7,Martha,IN
5,8,Martha,OUT
5,9,Martha,NA
5,10,Martha,NA
5,1,Nancy,STAR BAKER
5,2,Nancy,IN
5,3,Nancy,IN
5,4,Nancy,IN
5,5,Nancy,IN
5,6,Nancy,IN
5,7,Nancy,IN
5,8,Nancy,IN
5,9,Nancy,IN
5,10,Nancy,WINNER
5,1,Norman,IN
5,2,Norman,IN
5,3,Norman,IN
5,4,Norman,IN
5,5,Norman,OUT
5,6,Norman,NA
5,7,Norman,NA
5,8,Norman,NA
5,9,Norman,NA
5,10,Norman,NA
5,1,Richard,IN
5,2,Richard,STAR BAKER
5,3,Richard,IN
5,4,Richard,STAR BAKER
5,5,Richard,IN
5,6,Richard,IN
5,7,Richard,STAR BAKER
5,8,Richard,STAR BAKER
5,9,Richard,STAR BAKER
5,10,Richard,Runner-up
6,1,Alvin,IN
6,2,Alvin,IN
6,3,Alvin,IN
6,4,Alvin,IN
6,5,Alvin,IN
6,6,Alvin,OUT
6,7,Alvin,NA
6,8,Alvin,NA
6,9,Alvin,NA
6,10,Alvin,NA
6,1,Dorret,IN
6,2,Dorret,IN
6,3,Dorret,OUT
6,4,Dorret,NA
6,5,Dorret,NA
6,6,Dorret,NA
6,7,Dorret,NA
6,8,Dorret,NA
6,9,Dorret,NA
6,10,Dorret,NA
6,1,Flora,IN
6,2,Flora,IN
6,3,Flora,IN
6,4,Flora,IN
6,5,Flora,IN
6,6,Flora,IN
6,7,Flora,IN
6,8,Flora,IN
6,9,Flora,OUT
6,10,Flora,NA
6,1,Ian,IN
6,2,Ian,STAR BAKER
6,3,Ian,STAR BAKER
6,4,Ian,STAR BAKER
6,5,Ian,IN
6,6,Ian,IN
6,7,Ian,IN
6,8,Ian,IN
6,9,Ian,IN
6,10,Ian,Runner-up
6,1,Marie,STAR BAKER
6,2,Marie,OUT
6,3,Marie,NA
6,4,Marie,NA
6,5,Marie,NA
6,6,Marie,NA
6,7,Marie,NA
6,8,Marie,NA
6,9,Marie,NA
6,10,Marie,NA
6,1,Mat,IN
6,2,Mat,IN
6,3,Mat,IN
6,4,Mat,IN
6,5,Mat,IN
6,6,Mat,STAR BAKER
6,7,Mat,OUT
6,8,Mat,NA
6,9,Mat,NA
6,10,Mat,NA
6,1,Nadiya,IN
6,2,Nadiya,IN
6,3,Nadiya,IN
6,4,Nadiya,IN
6,5,Nadiya,STAR BAKER
6,6,Nadiya,IN
6,7,Nadiya,IN
6,8,Nadiya,STAR BAKER
6,9,Nadiya,STAR BAKER
6,10,Nadiya,WINNER
6,1,Paul,IN
6,2,Paul,IN
6,3,Paul,IN
6,4,Paul,IN
6,5,Paul,IN
6,6,Paul,IN
6,7,Paul,IN
6,8,Paul,OUT
6,9,Paul,NA
6,10,Paul,NA
6,1,Sandy,IN
6,2,Sandy,IN
6,3,Sandy,IN
6,4,Sandy,OUT
6,5,Sandy,NA
6,6,Sandy,NA
6,7,Sandy,NA
6,8,Sandy,NA
6,9,Sandy,NA
6,10,Sandy,NA
6,1,Stu,OUT
6,2,Stu,NA
6,3,Stu,NA
6,4,Stu,NA
6,5,Stu,NA
6,6,Stu,NA
6,7,Stu,NA
6,8,Stu,NA
6,9,Stu,NA
6,10,Stu,NA
6,1,Tamal,IN
6,2,Tamal,IN
6,3,Tamal,IN
6,4,Tamal,IN
6,5,Tamal,IN
6,6,Tamal,IN
6,7,Tamal,STAR BAKER
6,8,Tamal,IN
6,9,Tamal,IN
6,10,Tamal,Runner-up
6,1,Ugnė,IN
6,2,Ugnė,IN
6,3,Ugnė,IN
6,4,Ugnė,IN
6,5,Ugnė,OUT
6,6,Ugnė,NA
6,7,Ugnė,NA
6,8,Ugnė,NA
6,9,Ugnė,NA
6,10,Ugnė,NA
7,1,Andrew,IN
7,2,Andrew,IN
7,3,Andrew,IN
7,4,Andrew,IN
7,5,Andrew,IN
7,6,Andrew,IN
7,7,Andrew,STAR BAKER
7,8,Andrew,IN
7,9,Andrew,STAR BAKER
7,10,Andrew,Runner-up
7,1,Benjamina,IN
7,2,Benjamina,IN
7,3,Benjamina,IN
7,4,Benjamina,STAR BAKER
7,5,Benjamina,IN
7,6,Benjamina,IN
7,7,Benjamina,IN
7,8,Benjamina,OUT
7,9,Benjamina,NA
7,10,Benjamina,NA
7,1,Candice,IN
7,2,Candice,STAR BAKER
7,3,Candice,IN
7,4,Candice,IN
7,5,Candice,STAR BAKER
7,6,Candice,IN
7,7,Candice,IN
7,8,Candice,STAR BAKER
7,9,Candice,IN
7,10,Candice,WINNER
7,1,Jane,STAR BAKER
7,2,Jane,IN
7,3,Jane,IN
7,4,Jane,IN
7,5,Jane,IN
7,6,Jane,IN
7,7,Jane,IN
7,8,Jane,IN
7,9,Jane,IN
7,10,Jane,Runner-up
7,1,Kate,IN
7,2,Kate,IN
7,3,Kate,IN
7,4,Kate,OUT
7,5,Kate,NA
7,6,Kate,NA
7,7,Kate,NA
7,8,Kate,NA
7,9,Kate,NA
7,10,Kate,NA
7,1,Lee,OUT
7,2,Lee,NA
7,3,Lee,NA
7,4,Lee,NA
7,5,Lee,NA
7,6,Lee,NA
7,7,Lee,NA
7,8,Lee,NA
7,9,Lee,NA
7,10,Lee,NA
7,1,Louise,IN
7,2,Louise,OUT
7,3,Louise,NA
7,4,Louise,NA
7,5,Louise,NA
7,6,Louise,NA
7,7,Louise,NA
7,8,Louise,NA
7,9,Louise,NA
7,10,Louise,NA
7,1,Michael,IN
7,2,Michael,IN
7,3,Michael,OUT
7,4,Michael,NA
7,5,Michael,NA
7,6,Michael,NA
7,7,Michael,NA
7,8,Michael,NA
7,9,Michael,NA
7,10,Michael,NA
7,1,Rav,IN
7,2,Rav,IN
7,3,Rav,IN
7,4,Rav,IN
7,5,Rav,IN
7,6,Rav,OUT
7,7,Rav,NA
7,8,Rav,NA
7,9,Rav,NA
7,10,Rav,NA
7,1,Selasi,IN
7,2,Selasi,IN
7,3,Selasi,IN
7,4,Selasi,IN
7,5,Selasi,IN
7,6,Selasi,IN
7,7,Selasi,IN
7,8,Selasi,IN
7,9,Selasi,OUT
7,10,Selasi,NA
7,1,Tom,IN
7,2,Tom,IN
7,3,Tom,STAR BAKER
7,4,Tom,IN
7,5,Tom,IN
7,6,Tom,STAR BAKER
7,7,Tom,OUT
7,8,Tom,NA
7,9,Tom,NA
7,10,Tom,NA
7,1,Val,IN
7,2,Val,IN
7,3,Val,IN
7,4,Val,IN
7,5,Val,OUT
7,6,Val,NA
7,7,Val,NA
7,8,Val,NA
7,9,Val,NA
7,10,Val,NA
8,1,Chris,IN
8,2,Chris,OUT
8,3,Chris,NA
8,4,Chris,NA
8,5,Chris,NA
8,6,Chris,NA
8,7,Chris,NA
8,8,Chris,NA
8,9,Chris,NA
8,10,Chris,NA
8,1,Flo,IN
8,2,Flo,IN
8,3,Flo,OUT
8,4,Flo,NA
8,5,Flo,NA
8,6,Flo,NA
8,7,Flo,NA
8,8,Flo,NA
8,9,Flo,NA
8,10,Flo,NA
8,1,James,IN
8,2,James,IN
8,3,James,IN
8,4,James,IN
8,5,James,OUT
8,6,James,NA
8,7,James,NA
8,8,James,NA
8,9,James,NA
8,10,James,NA
8,1,Julia,IN
8,2,Julia,IN
8,3,Julia,STAR BAKER
8,4,Julia,IN
8,5,Julia,IN
8,6,Julia,OUT
8,7,Julia,NA
8,8,Julia,NA
8,9,Julia,NA
8,10,Julia,NA
8,1,Kate,IN
8,2,Kate,IN
8,3,Kate,IN
8,4,Kate,STAR BAKER
8,5,Kate,IN
8,6,Kate,IN
8,7,Kate,IN
8,8,Kate,IN
8,9,Kate,IN
8,10,Kate,Runner-up
8,1,Liam,IN
8,2,Liam,IN
8,3,Liam,IN
8,4,Liam,IN
8,5,Liam,IN
8,6,Liam,STAR BAKER
8,7,Liam,IN
8,8,Liam,OUT
8,9,Liam,NA
8,10,Liam,NA
8,1,Peter,OUT
8,2,Peter,NA
8,3,Peter,NA
8,4,Peter,NA
8,5,Peter,NA
8,6,Peter,NA
8,7,Peter,NA
8,8,Peter,NA
8,9,Peter,NA
8,10,Peter,NA
8,1,Sophie,IN
8,2,Sophie,IN
8,3,Sophie,IN
8,4,Sophie,IN
8,5,Sophie,STAR BAKER
8,6,Sophie,IN
8,7,Sophie,IN
8,8,Sophie,IN
8,9,Sophie,STAR BAKER
8,10,Sophie,WINNER
8,1,Stacey,IN
8,2,Stacey,IN
8,3,Stacey,IN
8,4,Stacey,IN
8,5,Stacey,IN
8,6,Stacey,IN
8,7,Stacey,IN
8,8,Stacey,STAR BAKER
8,9,Stacey,OUT
8,10,Stacey,NA
8,1,Steven,STAR BAKER
8,2,Steven,STAR BAKER
8,3,Steven,IN
8,4,Steven,IN
8,5,Steven,IN
8,6,Steven,IN
8,7,Steven,STAR BAKER
8,8,Steven,IN
8,9,Steven,IN
8,10,Steven,Runner-up
8,1,Tom,IN
8,2,Tom,IN
8,3,Tom,IN
8,4,Tom,OUT
8,5,Tom,NA
8,6,Tom,NA
8,7,Tom,NA
8,8,Tom,NA
8,9,Tom,NA
8,10,Tom,NA
8,1,Yan,IN
8,2,Yan,IN
8,3,Yan,IN
8,4,Yan,IN
8,5,Yan,IN
8,6,Yan,IN
8,7,Yan,OUT
8,8,Yan,NA
8,9,Yan,NA
8,10,Yan,NA
9,1,Antony,IN
9,2,Antony,IN
9,3,Antony,OUT
9,4,Antony,NA
9,5,Antony,NA
9,6,Antony,NA
9,7,Antony,NA
9,8,Antony,NA
9,9,Antony,NA
9,10,Antony,NA
9,1,Briony,IN
9,2,Briony,IN
9,3,Briony,IN
9,4,Briony,IN
9,5,Briony,IN
9,6,Briony,STAR BAKER
9,7,Briony,IN
9,8,Briony,IN
9,9,Briony,OUT
9,10,Briony,NA
9,1,Dan,IN
9,2,Dan,IN
9,3,Dan,IN
9,4,Dan,STAR BAKER
9,5,Dan,IN
9,6,Dan,OUT
9,7,Dan,NA
9,8,Dan,NA
9,9,Dan,NA
9,10,Dan,NA
9,1,Imelda,OUT
9,2,Imelda,NA
9,3,Imelda,NA
9,4,Imelda,NA
9,5,Imelda,NA
9,6,Imelda,NA
9,7,Imelda,NA
9,8,Imelda,NA
9,9,Imelda,NA
9,10,Imelda,NA
9,1,Jon,IN
9,2,Jon,IN
9,3,Jon,IN
9,4,Jon,IN
9,5,Jon,IN
9,6,Jon,IN
9,7,Jon,OUT
9,8,Jon,NA
9,9,Jon,NA
9,10,Jon,NA
9,1,Karen,IN
9,2,Karen,IN
9,3,Karen,IN
9,4,Karen,IN
9,5,Karen,OUT
9,6,Karen,NA
9,7,Karen,NA
9,8,Karen,NA
9,9,Karen,NA
9,10,Karen,NA
9,1,Kim-Joy,IN
9,2,Kim-Joy,IN
9,3,Kim-Joy,IN
9,4,Kim-Joy,IN
9,5,Kim-Joy,STAR BAKER
9,6,Kim-Joy,IN
9,7,Kim-Joy,STAR BAKER
9,8,Kim-Joy,IN
9,9,Kim-Joy,IN
9,10,Kim-Joy,Runner-up
9,1,Luke,IN
9,2,Luke,OUT
9,3,Luke,NA
9,4,Luke,NA
9,5,Luke,NA
9,6,Luke,NA
9,7,Luke,NA
9,8,Luke,NA
9,9,Luke,NA
9,10,Luke,NA
9,1,Manon,STAR BAKER
9,2,Manon,IN
9,3,Manon,IN
9,4,Manon,IN
9,5,Manon,IN
9,6,Manon,IN
9,7,Manon,IN
9,8,Manon,OUT
9,9,Manon,NA
9,10,Manon,NA
9,1,Rahul,IN
9,2,Rahul,STAR BAKER
9,3,Rahul,STAR BAKER
9,4,Rahul,IN
9,5,Rahul,IN
9,6,Rahul,IN
9,7,Rahul,IN
9,8,Rahul,IN
9,9,Rahul,IN
9,10,Rahul,WINNER
9,1,Ruby,IN
9,2,Ruby,IN
9,3,Ruby,IN
9,4,Ruby,IN
9,5,Ruby,IN
9,6,Ruby,IN
9,7,Ruby,IN
9,8,Ruby,STAR BAKER
9,9,Ruby,STAR BAKER
9,10,Ruby,Runner-up
9,1,Terry,IN
9,2,Terry,IN
9,3,Terry,IN
9,4,Terry,SICK
9,5,Terry,OUT
9,6,Terry,NA
9,7,Terry,NA
9,8,Terry,NA
9,9,Terry,NA
9,10,Terry,NA
10,1,Alice,IN
10,2,Alice,STAR BAKER
10,3,Alice,IN
10,4,Alice,IN
10,5,Alice,IN
10,6,Alice,IN
10,7,Alice,IN
10,8,Alice,IN
10,9,Alice,STAR BAKER
10,10,Alice,Runner-up
10,1,Amelia,IN
10,2,Amelia,IN
10,3,Amelia,OUT
10,4,Amelia,NA
10,5,Amelia,NA
10,6,Amelia,NA
10,7,Amelia,NA
10,8,Amelia,NA
10,9,Amelia,NA
10,10,Amelia,NA
10,1,Dan,OUT
10,2,Dan,NA
10,3,Dan,NA
10,4,Dan,NA
10,5,Dan,NA
10,6,Dan,NA
10,7,Dan,NA
10,8,Dan,NA
10,9,Dan,NA
10,10,Dan,NA
10,1,David,IN
10,2,David,IN
10,3,David,IN
10,4,David,IN
10,5,David,IN
10,6,David,IN
10,7,David,IN
10,8,David,IN
10,9,David,IN
10,10,David,WINNER
10,1,Helena,IN
10,2,Helena,IN
10,3,Helena,IN
10,4,Helena,IN
10,5,Helena,OUT
10,6,Helena,NA
10,7,Helena,NA
10,8,Helena,NA
10,9,Helena,NA
10,10,Helena,NA
10,1,Henry,IN
10,2,Henry,IN
10,3,Henry,IN
10,4,Henry,IN
10,5,Henry,IN
10,6,Henry,IN
10,7,Henry,STAR BAKER
10,8,Henry,OUT
10,9,Henry,NA
10,10,Henry,NA
10,1,Jamie,IN
10,2,Jamie,OUT
10,3,Jamie,NA
10,4,Jamie,NA
10,5,Jamie,NA
10,6,Jamie,NA
10,7,Jamie,NA
10,8,Jamie,NA
10,9,Jamie,NA
10,10,Jamie,NA
10,1,Michael,IN
10,2,Michael,IN
10,3,Michael,STAR BAKER
10,4,Michael,IN
10,5,Michael,IN
10,6,Michael,IN
10,7,Michael,OUT
10,8,Michael,NA
10,9,Michael,NA
10,10,Michael,NA
10,1,Michelle,STAR BAKER
10,2,Michelle,IN
10,3,Michelle,IN
10,4,Michelle,IN
10,5,Michelle,OUT
10,6,Michelle,NA
10,7,Michelle,NA
10,8,Michelle,NA
10,9,Michelle,NA
10,10,Michelle,NA
10,1,Phil,IN
10,2,Phil,IN
10,3,Phil,IN
10,4,Phil,OUT
10,5,Phil,NA
10,6,Phil,NA
10,7,Phil,NA
10,8,Phil,NA
10,9,Phil,NA
10,10,Phil,NA
10,1,Priya,IN
10,2,Priya,IN
10,3,Priya,IN
10,4,Priya,IN
10,5,Priya,IN
10,6,Priya,OUT
10,7,Priya,NA
10,8,Priya,NA
10,9,Priya,NA
10,10,Priya,NA
10,1,Rosie,IN
10,2,Rosie,IN
10,3,Rosie,IN
10,4,Rosie,IN
10,5,Rosie,IN
10,6,Rosie,IN
10,7,Rosie,IN
10,8,Rosie,IN
10,9,Rosie,OUT
10,10,Rosie,NA
10,1,Steph,IN
10,2,Steph,IN
10,3,Steph,IN
10,4,Steph,STAR BAKER
10,5,Steph,STAR BAKER
10,6,Steph,STAR BAKER
10,7,Steph,IN
10,8,Steph,STAR BAKER
10,9,Steph,IN
10,10,Steph,Runner-up
