series,episode,us_season,us_airdate
4,1,1,"December 28, 2014"
4,2,1,"January 4, 2015"
4,3,1,"January 11, 2015"
4,4,1,"January 18, 2015"
4,5,1,"January 25, 2015"
4,6,1,"February 1, 2015"
4,7,1,"February 8, 2015"
4,8,1,"February 15, 2015"
4,9,1,"February 22, 2015"
4,10,1,"March 1, 2015"
5,1,2,"September 6, 2015"
5,2,2,"September 13, 2015"
5,3,2,"September 20, 2015"
5,4,2,"September 27, 2015"
5,5,2,"October 4, 2015"
5,6,2,"October 11, 2015"
5,7,2,"October 18, 2015"
5,8,2,"October 25, 2015"
5,9,2,"November 1, 2015"
5,10,2,"November 8, 2015"
6,1,3,"July 1, 2016"
6,2,3,"July 8, 2016"
6,3,3,"July 15, 2016"
6,4,3,"July 15, 2016"
6,5,3,"July 22, 2016"
6,6,3,"July 22, 2016"
6,7,3,"July 29, 2016"
6,8,3,"July 29, 2016"
6,9,3,"August 5, 2016"
6,10,3,"August 12, 2016"
7,1,4,"June 16, 2017"
7,2,4,"June 16, 2017"
7,3,4,"June 23, 2017"
7,4,4,"June 30, 2017"
7,5,4,"July 7, 2017"
7,6,4,"July 14, 2017"
7,7,4,"July 21, 2017"
7,8,4,"July 28, 2017"
7,9,4,"August 4, 2017"
7,10,4,"August 4, 2017"
3,1,5,"June 22, 2018"
3,2,5,"June 22, 2018"
3,3,5,"June 29, 2018"
3,4,5,"July 6, 2018"
3,5,5,"July 13, 2018"
3,6,5,NA
3,7,5,NA
3,8,5,NA
3,9,5,NA
3,10,5,NA